links,title,time,content,class
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
https://nltimes.nl/2022/12/30/wind-threatens-cancel-new-years-national-fireworks-show,Wind threatens to cancel New Year's National Fireworks show,30 December 2022 - 13:05,,CultureEntertainment
https://nltimes.nl/2022/12/30/dutch-consumers-transferred-record-amount-via-tikkie-2022,Dutch consumers transferred a record amount via Tikkie in 2022,30 December 2022 - 11:50,,TechCultureLifestyle
https://nltimes.nl/2022/12/30/dutch-suspect-belgium-toddler-murder-case-remains-custody,Dutch suspect in Belgium toddler murder case remains in custody,30 December 2022 - 10:50,,Crime
https://nltimes.nl/2022/12/30/record-breaking-high-temperatures-strong-winds-expected-new-years,Record-breaking high temperatures and strong winds expected on New Year’s,30 December 2022 - 10:02,,TechNature
https://nltimes.nl/2022/12/30/director-gender-equality-institute-fired-sexual-misconduct-hostile-workplace-claims,"Director of gender equality institute fired over sexual misconduct, hostile workplace claims",30 December 2022 - 09:23,,PoliticsBusiness
https://nltimes.nl/2022/12/30/four-times-many-young-people-arrested-weapons-2019,Four times as many young people arrested with weapons as in 2019,30 December 2022 - 08:28,,Crime
https://nltimes.nl/2022/12/30/person-killed-enschede-home-invasion-may-robber-resident-custody,Person killed during Enschede home invasion may have been a robber; Resident in custody,30 December 2022 - 08:00,,Crime
https://nltimes.nl/2022/12/30/woman-receives-liver-heart-transplant-one-operation-dutch-first,Woman receives liver and heart transplant during one operation in Dutch first,30 December 2022 - 07:30,,Health
